S.NO,Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings ($ million),Country Code
101,Michael Schumacher,Germany,1,1,Auto Racing,2000,59,DE
102,Tiger Woods,USA,2,2,Golf,2000,53,US
103,Mike Tyson,USA,3,6,Boxing,2000,48,US
104,Michael Jordan,USA,4,4,Basketball,2000,37,US
105,Grant Hill,USA,5,10,Basketball,2000,26,US
106,Dale Earnhardt,USA,6,9,Auto Racing (Nascar),2000,24.5,US
107,Shaq O'Neal,USA,7,7,Basketball,2000,24,US
108,Lennox Lewis,USA,8,8,Boxing,2000,23,US
109,Oscar De La Hoya,USA,9,3,Boxing,2000,23,US
110,Kevin Garnett,USA,10,>10,Basketball,2000,21,US
111,Tiger Woods,USA,1,2,Golf,2002,69,US
112,Michael Schumacher,Germany,2,1,F1 Motorsports,2002,67,DE
113,Michael Jordan,USA,3,4,Basketball,2002,36,US
114,Lennox Lewis,USA,4,8,Boxing,2002,28,US
115,Grant Hill,USA,5,5,Basketball,2002,24,US
116,Shaquille O'Neal,USA,5,7,Basketball,2002,24,US
117,Mike Tyson,USA,7,3,Boxing,2002,23,US
118,Kevin Garnett,USA,7,10,Basketball,2002,23,US
119,Kobe Bryant,USA,9,>10,Basketball,2002,22,US
120,Jacques Villeneuve,Canada,10,>10,Auto Racing,2002,20,CA
121,Jeff Gordon,USA,10,>10,Auto Racing (Nascar),2002,20,US
122,Tiger Woods,USA,1,1,Golf,2003,78,US
123,Michael Schumacher,Germany,2,2,F1 Motorsports,2003,75,DE
124,Michael Jordan,USA,3,3,Basketball,2003,35,US
125,Shaq O'Neal,USA,4,5,Basketball,2003,30.5,US
126,Oscar De La Hoya,USA,5,>10,Boxing,2003,30,US
127,Kevin Garnett,USA,6,7,Basketball,2003,28,US
128,Alex Rodriguez,USA,7,>10,Baseball,2003,26,US
129,Grant Hill,USA,8,5,Basketball,2003,25.5,US
130,Andre Agassi,USA,9,>10,Tennis,2003,24,US
131,Jacques Villeneuve,Canada,10,10,Auto Racing,2003,23,CA
132,Tiger Woods,USA,1,1,golf,2004,80.3,US
133,Michael Schumacher,Germany,2,2,F1 racing,2004,80,DE
134,Peyton Manning,USA,3,>10,American Football,2004,42,US
135,Michael Jordan,USA,4,3,basketball,2004,35,US
136,Shaquille O'Neal,USA,5,4,basketball,2004,31.9,US
137,Kevin Garnett,USA,6,6,basketball,2004,29.7,US
138,Andre Agassi,USA,7,9,tennis,2004,28.2,US
139,David Beckham,UK,8,>10,soccer,2004,28,GB
140,Alex Rodriguez,USA,9,7,baseball,2004,26.2,US
141,Kobe Bryant,USA,10,>10,basketball,2004,26.1,US
142,Tiger Woods,USA,1,1,golf,2005,87,US
143,Michael Schumacher,Germany,2,2,F1 racing,2005,60,DE
144,Oscar De La Hoya,USA,3,>10,boxing,2005,38,US
145,Michael Vick,USA,4,>10,American Football,2005,37.5,US
146,Shaquille O'Neal,USA,5,5,basketball,2005,33.4,US
147,Michael Jordan,USA,6,4,basketball,2005,33,US
148,David Beckham,UK,7,8,soccer,2005,32.5,GB
149,Kobe Bryant,USA,8,10,basketball,2005,28.8,US
150,Lance Armstrong,USA,9,>10,cycling,2005,28,US
151,Valentino Rossi,Italy,9,>10,motorcycle gp,2005,28,IT
152,Tiger Woods,USA,1,1,golf,2006,90,US
153,Michael Schumacher,Germany,2,2,F1 racing,2006,58,DE
154,Muhammad Ali,USA,3,>10,boxing,2006,55,US
155,Phil Mickelson,USA,4,>10,golf,2006,47,US
156,Michael Jordan,USA,5,6,basketball,2006,32,US
157,Kobe Bryant,USA,6,8,basketball,2006,31,US
158,Shaquille O'Neal,USA,7,5,basketball,2006,30,US
159,Valentino Rossi,Italy,8,9,motorcycle gp,2006,30,IT
160,Alex Rodriguez,USA,9,>10,baseball,2006,29,US
161,Tom Brady,USA,9,>10,American Football,2006,29,US
162,Tiger Woods,USA,1,1,golf,2007,100,US
163,Oscar De La Hoya,USA,2,>10,boxing,2007,43,US
164,Phil Mickelson,USA,3,4,golf,2007,42,US
165,Kimi Raikkonen,Finland,4,>10,F1 racing,2007,40,FI
166,Michael Schumacher,Germany,5,2,F1 racing,2007,36,DE
167,David Beckham,UK,6,>10,soccer,2007,33,GB
168,Kobe Bryant,USA,6,>10,basketball,2007,33,US
169,Shaquille O'Neal,USA,8,7,basketball,2007,32,US
170,Ronaldinho,Brazil,9,>10,soccer,2007,31,BR
171,Michael Jordan,USA,9,5,basketball,2007,31,US
172,Tiger Woods,USA,1,1,golf,2008,115,US
173,David Beckham,UK,2,6,soccer,2008,50,GB
174,Michael Jordan,USA,3,9,basketball,2008,45,US
175,Phil Mickelson,USA,3,3,golf,2008,45,US
176,Kimi Raikkonen,Finland,5,4,F1 racing,2008,44,FI
177,Kobe Bryant,USA,6,7,basketball,2008,39,US
178,LeBron James,USA,7,>10,basketball,2008,38,US
179,Ronaldinho,Brazil,8,9,soccer,2008,37,BR
180,Valentino Rossi,Italy,9,>10,motorcycle gp,2008,35,IT
181,Roger Federer,Switzerland,9,>10,tennis,2008,35,CH
182,Tiger Woods,USA,1,1,golf,2009,110,US
183,Kobe Bryant,USA,2,6,basketball,2009,45,US
184,Michael Jordan,USA,2,3,basketball,2009,45,US
185,Kimi Raikkonen,Finland,2,5,F1 racing,2009,45,FI
186,David Beckham,UK,5,2,soccer,2009,42,GB
187,LeBron James,USA,6,7,basketball,2009,40,US
188,Phil Mickelson,USA,6,3,golf,2009,40,US
189,Manny Pacquiao,Philippines,6,>10,boxing,2009,40,PH
190,Valentino Rossi,Italy,9,9,motorcycle gp,2009,35,IT
191,Dale Earnhardt Jr.,USA,10,>10,NASCAR,2009,34,US
192,Tiger Woods,USA,1,1,golf,2010,105,US
193,Floyd Mayweather,USA,2,>10,boxing,2010,65,US
194,Kobe Bryant,USA,3,2,basketball,2010,48,US
195,Phil Mickelson,USA,4,6,golf,2010,46,US
196,David Beckham,UK,5,5,soccer,2010,43.7,GB
197,Roger Federer,Switzerland,6,>10,tennis,2010,43,CH
198,LeBron James,USA,7,6,basketball,2010,42.8,US
199,Manny Pacquiao,Philippines,8,6,boxing,2010,42,PH
200,Eli Manning,USA,9,>10,American Football,2010,39.9,US
201,Terrell Suggs,USA,10,>10,American Football,2010,38.3,US
202,Tiger Woods,USA,1,1,golf,2011,75,US
203,Kobe Bryant,USA,2,3,basketball,2011,53,US
204,LeBron James,USA,3,7,basketball,2011,48,US
205,Roger Federer,Switzerland,4,6,tennis,2011,47,CH
206,Phil Mickelson,USA,5,4,golf,2011,46.5,US
207,David Beckham,UK,6,5,soccer,2011,40,GB
208,Cristiano Ronaldo,Portugal,7,13,soccer,2011,38,PT
209,Alex Rodriguez,Dominican,8,12,baseball,2011,35,DO
210,Michael Schumacher,Germany,9,>20,F1 racing,2011,34,DE
211,Lionel Messi,Argentina,10,>20,soccer,2011,32.3,AR
212,Floyd Mayweather,USA,1,?,Boxing,2012,85,US
213,Manny Pacquiao,Philippines,2,24,Boxing,2012,62,PH
214,Tiger Woods,USA,3,1,Golf,2012,59.4,US
215,LeBron James,USA,4,3,Basketball,2012,53,US
216,Roger Federer,Switzerland,5,4,Tennis,2012,52.7,CH
217,Kobe Bryant,USA,6,2,Basketball,2012,52.3,US
218,Phil Mickelson,USA,7,5,Golf,2012,47.8,US
219,David Beckham,UK,8,6,Soccer,2012,46,GB
220,Cristiano Ronaldo,Portugal,9,21,Soccer,2012,42.5,PT
221,Peyton Manning,USA,10,7,American Football,2012,42.4,US
222,Tiger Woods,USA,1,3,Golf,2013,78.1,US
223,Roger Federer,Switzerland,2,5,Tennis,2013,71.5,CH
224,Kobe Bryant,USA,3,6,Basketball,2013,61.9,US
225,LeBron James,USA,4,4,Basketball,2013,59.8,US
226,Drew Brees,USA,5,?,American Football,2013,51,US
227,Aaron Rodgers,USA,6,?,American Football,2013,49,US
228,Phil Mickelson,USA,7,7,Golf,2013,48.7,US
229,David Beckham,UK,8,8,Soccer,2013,47.2,GB
230,Cristiano Ronaldo,Portugal,9,9,Soccer,2013,44,PT
231,Lionel Messi,Argentina,10,11,Soccer,2013,41.3,AR
232,Floyd Mayweather,USA,1,14,Boxing,2014,105,US
233,Cristiano Ronaldo,Portugal,2,9,Soccer,2014,80,PT
234,LeBron James,USA,3,4,Basketball,2014,72.3,US
235,Lionel Messi,Argentina,4,10,Soccer,2014,64.7,AR
236,Kobe Bryant,USA,5,3,Basketball,2014,61.5,US
237,Tiger Woods,USA,6,1,Golf,2014,61.2,US
238,Roger Federer,Switzerland,7,2,Tennis,2014,56.2,CH
239,Phil Mickelson,USA,8,7,Golf,2014,53.2,US
240,Rafael Nadal,Spain,9,>14,Tennis,2014,44.5,ES
241,Matt Ryan,USA,10,>100,American Football,2014,43.8,US
242,Floyd Mayweather,USA,1,1,Boxing,2015,300,US
243,Manny Pacquiao,Philippines,2,11,Boxing,2015,160,PH
244,Cristiano Ronaldo,Portugal,3,2,Soccer,2015,79.6,PT
245,Lionel Messi,Argentina,4,4,Soccer,2015,73.8,AR
246,Roger Federer,Switzerland,5,7,Tennis,2015,67,CH
247,LeBron James,USA,6,3,Basketball,2015,64.8,US
248,Kevin Durant,USA,7,20,Basketball,2015,54.2,US
249,Phil Mickelson,USA,8,8,Golf,2015,50.8,US
250,Tiger Woods,USA,9,6,Golf,2015,50.6,US
251,Kobe Bryant,USA,10,5,Basketball,2015,49.5,US
252,Cristiano Ronaldo,Portugal,1,3,Soccer,2016,88,PT
253,Lionel Messi,Argentina,2,4,Soccer,2016,81.4,AR
254,LeBron James,USA,3,6,Basketball,2016,77.2,US
255,Roger Federer,Switzerland,4,5,Tennis,2016,67.8,CH
256,Kevin Durant,USA,5,7,Basketball,2016,56.2,US
257,Novak Djokovic,Serbia,6,13,Tennis,2016,55.8,RS
258,Cam Newton,USA,7,>20,American Football,2016,53.1,US
259,Phil Mickelson,USA,8,8,Golf,2016,52.9,US
260,Jordan Spieth,USA,9,>20,Golf,2016,52.8,US
261,Kobe Bryant,USA,10,10,Basketball,2016,50,US
262,Cristiano Ronaldo,Portugal,1,1,Soccer,2017,93,PT
263,LeBron James,USA,2,3,Basketball,2017,86.2,US
264,Lionel Messi,Argentina,3,2,Soccer,2017,80,AR
265,Roger Federer,Switzerland,4,4,Tennis,2017,64,CH
266,Kevin Durant,USA,5,5,Basketball,2017,60.6,US
267,Andrew Luck,USA,6,,American Football,2017,50,US
268,Rory McIlroy,Northern Ireland,6,17,Golf,2017,50,GB
269,Stephen Curry,USA,8,,Basketball,2017,47.3,US
270,James Harden,USA,9,,Basketball,2017,46.6,US
271,Lewis Hamilton,UK,10,,auto racing,2017,46,GB
272,Floyd Mayweather,USA,1,>100,Boxing,2018,285,US
273,Lionel Messi,Argentina,2,3,Soccer,2018,111,AR
274,Cristiano Ronaldo,Portugal,3,1,Soccer,2018,108,PT
275,Conor McGregor,Ireland,4,24,MMA,2018,99,IE
276,Neymar,Brazil,5,18,Soccer,2018,90,BR
277,LeBron James,USA,6,2,Basketball,2018,85.5,US
278,Roger Federer,Switzerland,7,4,Tennis,2018,77.2,CH
279,Stephen Curry,USA,8,8,Basketball,2018,76.9,US
280,Matt Ryan,USA,9,>100,American Football,2018,67.3,US
281,Matthew Stafford,USA,10,>100,American Football,2018,59.5,US
282,Lionel Messi,Argentina,1,2,Soccer,2019,127,AR
283,Cristiano Ronaldo,Portugal,2,3,Soccer,2019,109,PT
284,Neymar,Brazil,3,5,Soccer,2019,105,BR
285,Canelo Alvarez,Mexico,4,15,Boxing,2019,94,MX
286,Roger Federer,Switzerland,5,7,Tennis,2019,93.4,CH
287,Russell Wilson,USA,6,??,American Football,2019,89.5,US
288,Aaron Rogers,USA,7,??,American Football,2019,89.3,US
289,LeBron James,USA,8,6,Basketball,2019,89,US
290,Stephen Curry,USA,9,8,Basketball,2019,79.8,US
291,Kevin Durant,USA,10,11,Basketball,2019,65.4,US
