Name,Pay (USD millions),Year,Category
Steve Harvey,42.5,2017,Personalities
Luke Bryan,42.0,2017,Musicians
Celine Dion,42.0,2017,Musicians
Jay-Z,42.0,2017,Musicians
Sofia Vergara,41.5,2017,Actors Actresses
Kylie Jenner,41.0,2017,Personalities
Bruno Mars,39.0,2017,Musicians
Tom Cruise,43.0,2017,Actors Actresses
Kenny Chesney,42.5,2017,Musicians
Steve Harvey,42.5,2017,Personalities
Luke Bryan,42.0,2017,Musicians
Celine Dion,42.0,2017,Musicians
Jay-Z,42.0,2017,Musicians
Sofia Vergara,41.5,2017,Actors Actresses
Kylie Jenner,41.0,2017,Personalities
Bruno Mars,39.0,2017,Musicians
Tiesto,39.0,2017,Musicians
Shah Rukh Khan,38.0,2017,Actors Actresses
Jennifer Lopez,38.0,2017,Musicians
The Chainsmokers,38.0,2017,Musicians
Amy Schumer,37.5,2017,Comedians
Salman Khan,37.0,2017,Actors Actresses
Bill O'Reilly,37.0,2017,Personalities
Dolly Parton,37.0,2017,Musicians
Ed Sheeran,37.0,2017,Musicians
Sean Hannity,36.0,2017,Personalities
Rihanna,36.0,2017,Musicians
Bon Jovi,35.5,2017,Musicians
Akshay Kumar,35.5,2017,Actors Actresses
Billy Joel,35.0,2017,Musicians
Dr. Dre,34.5,2017,Musicians
Florida Georgia Line,34.5,2017,Musicians
Toby Keith,34.5,2017,Musicians
Britney Spears,34.0,2017,Musicians
Chance The Rapper,33.0,2017,Musicians
Katy Perry,33.0,2017,Musicians
Jason Aldean,32.5,2017,Musicians
Kevin Hart,32.5,2017,Comedians
George Clooney,239.0,2018,Actors Actresses
Kylie Jenner,166.5,2018,Personalities
Judy Sheindlin,147.0,2018,Personalities
Dwayne Johnson,124.0,2018,Actors Actresses
U2,118.0,2018,Musicians
Coldplay,115.5,2018,Musicians
Ed Sheeran,110.0,2018,Musicians
Bruno Mars,100.0,2018,Musicians
Howard Stern,90.0,2018,Personalities
Ellen DeGeneres,87.5,2018,Personalities
James Patterson,86.0,2018,Authors
Rush Limbaugh,84.5,2018,Personalities
Katy Perry,83.0,2018,Musicians
Robert Downey Jr.,81.0,2018,Actors Actresses
Taylor Swift,80.0,2018,Musicians
Dr. Phil McGraw,77.5,2018,Personalities
Jay-Z,76.5,2018,Musicians
Ryan Seacrest,74.0,2018,Personalities
Guns N' Roses,71.0,2018,Musicians
Roger Waters,68.0,2018,Musicians
Kim Kardashian,67.0,2018,Personalities
Chris Hemsworth,64.5,2018,Actors Actresses
Sean (Diddy) Combs,64.0,2018,Musicians
David Copperfield,62.0,2018,Magicians
Gordon Ramsay,62.0,2018,Personalities
Beyonce Knowles,60.0,2018,Musicians
Kendrick Lamar,58.0,2018,Musicians
Jerry Seinfeld,57.5,2018,Comedians
Kevin Hart,57.0,2018,Comedians
The Weeknd,57.0,2018,Musicians
The Eagles,56.0,2018,Musicians
J.K. Rowling,54.0,2018,Authors
Depeche Mode,53.0,2018,Musicians
Luke Bryan,52.0,2018,Musicians
Pink,52.0,2018,Musicians
Jimmy Buffett,51.0,2018,Musicians
Lady Gaga,50.0,2018,Musicians
Calvin Harris,48.0,2018,Musicians
Paul McCartney,47.5,2018,Musicians
Drake,47.0,2018,Musicians
Foo Fighters,47.0,2018,Musicians
Jennifer Lopez,47.0,2018,Musicians
Elton John,46.0,2018,Musicians
Metallica,46.0,2018,Musicians
Garth Brooks,45.5,2018,Musicians
Jackie Chan,45.5,2018,Actors Actresses
Paul McCartney,47.5,2018,Musicians
Drake,47.0,2018,Musicians
Foo Fighters,47.0,2018,Musicians
Jennifer Lopez,47.0,2018,Musicians
Elton John,46.0,2018,Musicians
Metallica,46.0,2018,Musicians
Garth Brooks,45.5,2018,Musicians
Jackie Chan,45.5,2018,Actors Actresses
The Chainsmokers,45.5,2018,Musicians
Steve Harvey,44.0,2018,Personalities
Simon Cowell,43.5,2018,Personalities
Billy Joel,43.5,2018,Musicians
Sofia Vergara,42.5,2018,Actors Actresses
Will Smith,42.0,2018,Actors Actresses
Scarlett Johansson,40.5,2018,Actors Actresses
Akshay Kumar,40.5,2018,Actors Actresses
Adam Sandler,39.5,2018,Actors Actresses
Rolling Stones,39.0,2018,Musicians
Salman Khan,37.7,2018,Actors Actresses
Kris Jenner,37.5,2018,Personalities
Rihanna,37.5,2018,Musicians
Bruce Springsteen,37.5,2018,Musicians
Kenny Chesney,37.0,2018,Musicians
Imagine Dragons,36.5,2018,Musicians
Sean Hannity,36.0,2018,Personalities
J. Cole,35.5,2018,Musicians
Dave Chappelle,35.0,2018,Comedians
Dr. Dre,35.0,2018,Musicians
Nas,35.0,2018,Musicians
Taylor Swift,185.0,2019,Musicians
Kylie Jenner,170.0,2019,Personalities
Kanye West,150.0,2019,Musicians
Ed Sheeran,110.0,2019,Musicians
The Eagles,100.0,2019,Musicians
Dr. Phil McGraw,95.0,2019,Personalities
Howard Stern,93.0,2019,Personalities
J.K. Rowling,92.0,2019,Authors
Dwayne Johnson,89.4,2019,Actors Actresses
Rush Limbaugh,87.0,2019,Personalities
Elton John,84.0,2019,Musicians
Jay-Z,81.0,2019,Musicians
Beyonce Knowles,81.0,2019,Musicians
Ellen DeGeneres,80.5,2019,Personalities
Chris Hemsworth,76.4,2019,Actors Actresses
Drake,75.0,2019,Musicians
Kim Kardashian,72.0,2019,Personalities
Ryan Seacrest,71.5,2019,Personalities
Sean (Diddy) Combs,70.0,2019,Musicians
James Patterson,70.0,2019,Authors
Metallica,68.5,2019,Musicians
Robert Downey Jr.,66.0,2019,Actors Actresses
Akshay Kumar,65.0,2019,Actors Actresses
Gordon Ramsay,63.0,2019,Personalities
Rihanna,62.0,2019,Musicians
David Copperfield,60.0,2019,Magicians
Kevin Hart,59.0,2019,Comedians
Jackie Chan,58.0,2019,Actors Actresses
Travis Scott,58.0,2019,Musicians
Katy Perry,57.5,2019,Musicians
Justin Timberlake,57.5,2019,Musicians
BTS,57.0,2019,Musicians
Bradley Cooper,57.0,2019,Actors Actresses
Pink,57.0,2019,Musicians
Adam Sandler,57.0,2019,Actors Actresses
Scarlett Johansson,56.0,2019,Actors Actresses
Billy Joel,52.0,2019,Musicians
Bruno Mars,51.5,2019,Musicians
Jimmy Buffett,50.0,2019,Musicians
Eminem,50.0,2019,Musicians
Fleetwood Mac,49.0,2019,Musicians
Judy Sheindlin,49.0,2019,Personalities
Billy Joel,52.0,2019,Musicians
Bruno Mars,51.5,2019,Musicians
Jimmy Buffett,50.0,2019,Musicians
Eminem,50.0,2019,Musicians
Fleetwood Mac,49.0,2019,Musicians
Judy Sheindlin,49.0,2019,Personalities
Ariana Grande,48.0,2019,Musicians
Paul McCartney,48.0,2019,Musicians
Sean Hannity,46.0,2019,Personalities
The Chainsmokers,46.0,2019,Musicians
Steve Harvey,45.0,2019,Personalities
Guns N' Roses,44.0,2019,Musicians
Chris Evans,43.5,2019,Actors Actresses
Jennifer Lopez,43.0,2019,Musicians
Sofia Vergara,43.0,2019,Actors Actresses
Luke Bryan,42.5,2019,Musicians
Simon Cowell,42.0,2019,Personalities
Paul Rudd,41.0,2019,Actors Actresses
Jerry Seinfeld,41.0,2019,Comedians
Rolling Stones,41.0,2019,Musicians
DJ Khaled,40.0,2019,Musicians
Marshmello,40.0,2019,Musicians
The Weeknd,40.0,2019,Musicians
Lady Gaga,39.5,2019,Musicians
Dave Matthews Band,39.0,2019,Musicians
Zac Brown Band,38.5,2019,Musicians
Calvin Harris,38.5,2019,Musicians
Kendrick Lamar,38.5,2019,Musicians
Shawn Mendes,38.0,2019,Musicians
Celine Dion,37.5,2019,Musicians
